player_id,name,pos,gp,pts,WAA,WAR
00-0029264,Bernard Pierce,RB,42,163.2,-6.069,-2.619
00-0031327,Kevin Norwood,WR,26,13.8,-4.739,-2.619
00-0031744,Matthew LaCosse,TE,32,69.5,-4.995,-2.621
00-0036991,Amari Rodgers,WR,28,33.1,-4.823,-2.622
00-0037666,Jalen Tolbert,WR,45,193.5,-6.292,-2.624
00-0032429,Jerell Adams,TE,29,44.6,-4.785,-2.625
00-0026349,Matthew Flynn,QB,28,35.7,-5.209,-2.63
00-0031687,Dominique Mostert,RB,96,688.8,-10.645,-2.63
00-0033108,Paxton Lynch,QB,27,26.7,-5.147,-2.631
00-0029159,Jermaine Kearse,WR,81,556.4,-9.207,-2.637
00-0038496,Xavier Gipson,WR,32,63.1,-5.269,-2.638
00-0034686,Auden Tate,WR,40,148.4,-5.856,-2.639
00-0033858,Jonnu Smith,TE,114,844.9,-11.032,-2.643
00-0035342,Patrick Laird,RB,32,69.0,-5.306,-2.647
00-0035100,Jake Browning,QB,37,119.6,-6.31,-2.647
00-0032475,Tanner McEvoy,WR,29,44.5,-4.882,-2.649
00-0024296,Charlie Whitehurst,QB,31,59.0,-5.508,-2.65
00-0034433,Charles Bawden,RB,28,18.4,-5.105,-2.673
00-0035251,Will Grier,QB,25,0.0,-5.082,-2.674
00-0031609,Alexander Derby,TE,36,104.7,-5.308,-2.679
00-0031533,Randall Telfer,TE,26,11.5,-4.564,-2.679
00-0034631,Vyncint Smith,WR,29,35.0,-4.985,-2.68
00-0038465,Malik Heath,WR,31,51.1,-5.216,-2.685
00-0034766,Christopher Herndon,TE,41,156.3,-5.621,-2.686
