season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2014,1,00-0027946,Jacob Locker,QB,20.04,2.05,8.4,0.0224,0.0908,25.9,1
2014,1,00-0024813,Charles Thomas,RB,14.9,-3.2,3.3,-0.0349,0.036,25.9,1
2014,1,00-0027531,Christopher Ivory,RB,16.2,-1.9,4.6,-0.0208,0.05,25.9,1
2014,1,00-0023662,Matthew Cassel,QB,12.5,-5.49,0.86,-0.0597,0.0094,25.9,1
2014,1,00-0021547,Antonio Gates,TE,17.1,-1.79,5.5,-0.0195,0.0598,25.9,1
2014,1,00-0022084,Anquan Boldin,WR,17.9,0.41,6.1,0.0045,0.0662,25.9,1
2014,1,00-0030460,Markus Wheaton,WR,15.7,-1.79,3.9,-0.0195,0.0425,25.9,1
2014,1,00-0027942,Adriel Green,WR,25.6,8.11,13.8,0.0878,0.147,25.9,1
2014,1,00-0027321,Jeffrey Cumberland,TE,11.0,-7.89,-0.6,-0.0854,-0.0065,25.9,0
2014,1,00-0023367,Nathaniel Washington,WR,9.9,-7.59,-1.9,-0.0822,-0.0207,25.9,0
2014,1,00-0028091,Jeremy Kerley,WR,8.8,-8.69,-3.0,-0.0939,-0.0327,25.9,0
2014,1,00-0029665,Robert Griffin,QB,7.88,-10.11,-3.76,-0.1089,-0.0409,25.9,0
2014,1,00-0026899,Shonn Greene,RB,7.1,-11.0,-4.5,-0.1183,-0.049,25.9,0
2014,1,00-0022803,Elisha Manning,QB,6.52,-11.47,-5.12,-0.1231,-0.0557,25.9,0
2014,1,00-0028112,Charles Clay,TE,5.7,-13.19,-5.9,-0.1408,-0.0641,25.9,0
2014,1,00-0027786,Jonathan Dwyer,RB,4.8,-13.3,-6.8,-0.142,-0.0738,25.9,0
2014,1,00-0027890,Benjamin Tate,RB,4.1,-14.0,-7.5,-0.1491,-0.0812,25.9,0
2014,1,00-0022921,Larry Fitzgerald,WR,3.2,-14.29,-8.6,-0.152,-0.093,25.9,0
2014,1,00-0029613,Douglas Martin,RB,2.6,-15.5,-9.0,-0.1642,-0.0972,25.9,0
2014,1,00-0030865,Harold Hoskins,TE,2.2,-16.69,-9.4,-0.1759,-0.1014,25.9,0
2014,1,00-0030472,Jordan Reed,TE,1.9,-16.99,-9.7,-0.1789,-0.1046,25.9,0
2014,1,00-0031055,Andre Williams,RB,0.9,-17.2,-10.7,-0.181,-0.1151,25.9,0
